Zotero Key,DOI,Title,Year,Authors
KUG26K2K,,ProveRAG: provenance-driven vulnerability analysis with automated retrieval-augmented LLMs,2024,"Fayyazi, Reza; Trueba, Stella Hoyos; Zuzak, Michael; Yang, Shanchieh Jay"
U68QBKVK,,BlockScan: detecting anomalies in blockchain transactions,2024,"Yu, Jiahao; Wu, Xian; Liu, Hao; Guo, Wenbo; Xing, Xinyu"
IGCMHNIR,,Palisade -- prompt injection detection framework,2024,"Kokkula, Sahasra; R, Somanathan; R, Nandavardhan; , ; Divya, G"
2NCF5QD7,,Data-centric NLP backdoor defense from the lens of memorization,2024,"Wang, Zhenting; Wang, Zhizhi; Jin, Mingyu; Du, Mengnan; Zhai, Juan; Ma, Shiqing"
UU7HWP9B,,IntelliRadar: a comprehensive platform to pinpoint malicious package information from cyber intelligence,2024,"Guo, Wenbo; Liu, Chengwei; Wang, Limin; Zhang, Yiran; Wu, Jiahui; Xu, Zhengzi; Liu, Yang"
R8ZAUXDE,,Take package as language: anomaly detection using transformer,2024,"Huang, Jie"
FK2T72R3,,INVARLLM: LLM-assisted physical invariant extraction for cyber-physical systems anomaly detection,2024,"Abshari, Danial; Shi, Peiran; Fu, Chenglong; Sridhar, Meera; Du, Xiaojiang"
AW6V24A8,,LLMs for domain generation algorithm detection,2024,"O, Reynier Leyva La; Catania, Carlos A.; Parlanti, Tatiana"
RBMERP5K,,TIPS: threat actor informed prioritization of applications using SecEncoder,2024,"Bulut, Muhammed Fatih; Tamersoy, Acar; Ahmad, Naveed; Liu, Yingqi; Greenwald, Lloyd"
C9E99PIC,,Enhancing pre-trained language models for vulnerability detection via semantic-preserving data augmentation,2024,"Qi, Weiliang; Cao, Jiahao; Poddar, Darsh; Li, Sophia; Wang, Xinda"
H2E7ZHPC,,Fine-tuned large language models (LLMs): improved prompt injection attacks detection,2024,"Rahman, Md Abdur; Wu, Fan; Cuzzocrea, Alfredo; Ahamed, Sheikh Iqbal"
RDB6KV5E,,FATH: authentication-based test-time defense against indirect prompt injection attacks,2024,"Wang, Jiongxiao; Wu, Fangzhou; Li, Wendi; Pan, Jinsheng; Suh, Edward; Mao, Z. Morley; Chen, Muhao; Xiao, Chaowei"
S7PXRPES,,Can LLMs be scammed? A baseline measurement study,2024,"Sehwag, Udari Madhushani; Patel, Kelly; Mosca, Francesca; Ravi, Vineeth; Staddon, Jessica"
2GVVFZJ3,,Combating phone scams with LLM-based detection: where do we stand?,2024,"Shen, Zitong; Wang, Kangzhong; Zhang, Youqian; Ngai, Grace; Fu, Eugene Y."
